KL,Mpm
304,3.03E+22
314,2.60E+23
330,5.10E+24
299,9.00E+21
306,1.98E+22
295,4.70E+21
311,8.14E+22
285,6.69E+20
308,5.07E+22
211,5.48E+16
311,8.14E+22
294,2.30E+21
294,4.80E+21
288,7.19E+20
267,7.16E+19
254,1.07E+19
313,2.50E+23
32,6.81E+05
305,1.76E+22
288,7.85E+20
272,9.25E+19
132,2.00E+12
303,2.57E+22
299,1.30E+22
98,1.53E+10
308,4.24E+22
300,1.14E+22
155,1.87E+13
309,6.00E+22
287,1.00E+21
284,3.41E+20
288,9.61E+20
278,2.90E+20
292,1.70E+21
310,4.54E+22
178,2.27E+14
188,1.10E+15
110,1.45E+11
318,2.84E+23
303,2.08E+22
157,2.63E+13
33,6.81E+05
140,2.90E+12
36,1.00E+06
302,2.12E+22
310,1.37E+23
323,2.40E+24
365,5.30E+27
288,1.00E+21
319,4.32E+23
305,3.74E+22
48,1.70E+06
302,2.17E+22
310,6.99E+22
309,7.97E+22
299,7.60E+21
287,1.00E+21
295,4.80E+21
314,2.79E+23
298,8.40E+21
304,3.74E+22
310,1.19E+23
283,5.07E+20
295,5.10E+21
263,4.25E+19
146,1.21E+13
252,6.10E+18
252,6.10E+18
314,2.84E+23
318,3.62E+23
317,4.71E+23
248,1.84E+18
143,3.90E+12
313,2.02E+23
310,1.35E+23
243,1.50E+18
102,2.10E+10
117,2.32E+11
317,4.41E+23
55,3.75E+07
42,2.30E+06
44,3.60E+06
337,2.55E+25
309,9.25E+22
297,7.36E+21
118,2.76E+11
118,2.76E+11
248,4.69E+18
252,7.98E+18
268,5.97E+19
120,3.26E+11
264,5.27E+19
209,2.68E+16
59,9.76E+06
260,1.90E+19
133,1.31E+09
281,3.31E+20
92,4.89E+09
82,1.23E+09
200,5.94E+15
272,1.28E+20
153,6.60E+18
299,1.05E+22
66,1.99E+08
300,1.06E+22
305,3.98E+22
300,1.38E+22
311,1.43E+23
288,1.00E+21
253,5.50E+18
86,#VALUE!
328,3.00E+24
176,6.24E+14
275,2.65E+20
240,2.70E+18
286,7.04E+20
196,5.18E+15
301,1.90E+22
117,2.85E+11
117,2.85E+11
177,6.07E+14
137,2.50E+09
155,2.68E+13
86,6.16E+09
232,4.99E+17
56,3.07E+07
150,8.60E+12
213,7.17E+16
167,6.93E+13
66.00,1.74E+08
91.00,4.70E+09
223.00,2.09E+17
134.00,2.00E+12
142.00,2.70E+12
174.00,1.80E+14
153.00,9.40E+12
166.00,7.80E+13
293.00,7.40E+21
89.00,6.20E+12
84.00,1.70E+06
301.00,1.75E+22
178.00,8.05E+18
168.00,1.13E+14
103.00,2.15E+10
191.00,2.90E+15
84.00,2.00E+09
168.00,1.35E+14
164.00,6.26E+13
251.00,6.34E+18
291.00,2.30E+21
283.00,5.44E+20
160.00,3.57E+13
224.00,1.90E+24
41.00,3.00E+06
324.00,1.90E+24
176.00,2.20E+18
176.00,3.98E+14
186,1.22E+15
281,3.76E+20
284,5.70E+20
108,4.09E+10
108,4.98E+10
175,4.09E+14
104,1.97E+10
264,3.24E+19
102,1.40E+10
90,5.56E+09
170,3.76E+14
198,6.00E+15
235,8.39E+17
116,2.04E+11
256,1.09E+19
229,5.30E+17
367,8.50E+27
228,5.80E+17
287,5.97E+20
300,1.37E+22
318,4.85E+23
156,2.60E+01
164,7.90E+13
181,6.16E+14
118,1.76E+11
170,2.01E+14
99,6.20E+13
191,3.50E+15
159,4.17E+13
244,2.67E+18
193,3.31E+15
312,1.13E+23
336,2.12E+25
281,4.48E+20
290,1.60E+21
222,1.33E+17
94,1.08E+10
223,2.10E+17
167,1.04E+14
141,3.67E+12
256,9.42E+18
176,3.37E+14
216,7.50E+16
176,3.37E+14
176,3.37E+14
176,3.37E+14
266,4.40E+19
272,1.28E+20
111,1.68E+11
111,1.68E+11
115,2.20E+03
233,8.57E+17
167,1.04E+14
271,9.65E+19
90,9.50E+09
263,3.13E+19
87,1.32E+09
180,5.77E+14
128,4.95E+11
189,1.14E+15
213,6.00E+16
282,4.40E+20
141,5.01E+12
115,8.03E+10
188,2.03E+15
37,6.07E+05
256,1.34E+19
218,1.12E+17
177,3.26E+14
177,3.52E+14
90,3.24E+09
212,#VALUE!
208,2.80E+16
190,2.90E+15
171,1.77E+20
271,1.77E+20
238,1.00E+18
262,3.73E+19
198,7.24E+15
286,6.96E+20
317,5.33E+23
245,3.00E+18
183,8.47E+14
203,1.34E+16
90,7.23E+08
72,3.92E+08
275,1.73E+11
286,6.80E+20
166,1.09E+14
188,1.80E+15
124,2.32E+11
314,2.44E+23
233,8.90E+17
252,1.21E+19
133,1.90E+12
74,1.45E+08
182,7.62E+14
70,4.50E+08
75,5.11E+08
89,5.21E+09
74,4.44E+08
237,1.12E+18
168,1.52E+14
168,1.52E+14
220,8.50E+16
79,2.00E+00
292,2.30E+21
265,4.76E+19
170,3.60E+14
172,3.24E+14
75,3.47E+08
267,5.40E+19
303,1.93E+22
261,4.27E+19
161,4.68E+13
84,1.79E+09
99,6.69E+09
146,8.50E+12
66,5.87E+07
218,1.09E+17
254,9.04E+18
234,9.47E+17
215,6.82E+16
297,8.00E+21
136,2.05E+12
90,4.69E+09
64,6.80E+07
288,1.20E+21
277,2.43E+20
201,1.46E+16
155,1.74E+13
33,1.00E+06
186,9.65E+14
67,2.00E+08
33,5.71E+05
271,1.08E+20
134,1.00E+12
134,1.00E+12
234,1.00E+18
176,4.27E+14
107,5.72E+10
90,6.43E+09
90,6.40E+09
283,5.34E+20
106,4.69E+10
175,3.55E+14
205,1.71E+16
297,6.80E+21
57,1.29E+07
294,3.00E+21
147,3.88E+12
163,1.70E+13
151,1.24E+13
